,das,era,mc,name,type
42,/BFFZprimeToMuMu_M_400/RunIIFall17NanoAODv7-PU2017_12Apr2018_Nano02Apr2020_102X_mc2017_realistic_v8-v1/NANOAODSIM,2018,1,BFF_400_dbs0p04,BFF
43,/BFFZprimeToMuMu_M_450/RunIIFall17NanoAODv7-PU2017_12Apr2018_Nano02Apr2020_102X_mc2017_realistic_v8-v1/NANOAODSIM,2018,1,BFF_450_dbs0p04,BFF
44,/BFFZprimeToMuMu_M_500/RunIIFall17NanoAODv7-PU2017_12Apr2018_Nano02Apr2020_102X_mc2017_realistic_v8-v1/NANOAODSIM,2018,1,BFF_500_dbs0p04,BFF
45,/BFFZprimeToMuMu_M_500_dbs0p5/RunIIFall17NanoAODv7-PU2017_12Apr2018_Nano02Apr2020_102X_mc2017_realistic_v8-v1/NANOAODSIM,2018,1,BFF_500_dbs0p5,BFF
46,/BFFZprimeToMuMu_M_500_dbs1p0/RunIIFall17NanoAODv7-PU2017_12Apr2018_Nano02Apr2020_102X_mc2017_realistic_v8-v1/NANOAODSIM,2018,1,BFF_500_dbs1p0,BFF
47,/ZToEE_NNPDF31_13TeV-powheg_M_120_200/RunIIFall17NanoAODv7-PU2017_12Apr2018_Nano02Apr2020_102X_mc2017_realistic_v8-v1/NANOAODSIM,2018,1,ZToEE_120_200,DY
48,/ZToEE_NNPDF31_13TeV-powheg_M_200_400/RunIIFall17NanoAODv7-PU2017_12Apr2018_Nano02Apr2020_102X_mc2017_realistic_v8-v1/NANOAODSIM,2018,1,ZToEE_200_400,DY
49,/ZToEE_NNPDF31_13TeV-powheg_M_400_800/RunIIFall17NanoAODv7-PU2017_12Apr2018_Nano02Apr2020_102X_mc2017_realistic_v8-v1/NANOAODSIM,2018,1,ZToEE_400_800,DY
50,/ZToEE_NNPDF31_13TeV-powheg_M_50_120/RunIIFall17NanoAODv7-PU2017_12Apr2018_Nano02Apr2020_102X_mc2017_realistic_v8-v1/NANOAODSIM,2018,1,ZToEE_50_120,DY
51,/ZToEE_NNPDF31_13TeV-powheg_M_800_1400/RunIIFall17NanoAODv7-PU2017_12Apr2018_Nano02Apr2020_102X_mc2017_realistic_v8-v1/NANOAODSIM,2018,1,ZToEE_800_1400,DY
52,/ZToMuMu_NNPDF31_13TeV-powheg_M_120_200/RunIIFall17NanoAODv7-PU2017_12Apr2018_Nano02Apr2020_102X_mc2017_realistic_v8-v1/NANOAODSIM,2018,1,ZToMuMu_120_200,DY
53,/ZToMuMu_NNPDF31_13TeV-powheg_M_200_400/RunIIFall17NanoAODv7-PU2017_12Apr2018_Nano02Apr2020_102X_mc2017_realistic_v8-v1/NANOAODSIM,2018,1,ZToMuMu_200_400,DY
54,/ZToMuMu_NNPDF31_13TeV-powheg_M_400_800/RunIIFall17NanoAODv7-PU2017_12Apr2018_Nano02Apr2020_102X_mc2017_realistic_v8-v1/NANOAODSIM,2018,1,ZToMuMu_400_800,DY
55,/ZToMuMu_NNPDF31_13TeV-powheg_M_50_120/RunIIFall17NanoAODv7-PU2017_12Apr2018_Nano02Apr2020_102X_mc2017_realistic_v8-v1/NANOAODSIM,2018,1,ZToMuMu_50_120,DY
56,/ZToMuMu_NNPDF31_13TeV-powheg_M_800_1400/RunIIFall17NanoAODv7-PU2017_12Apr2018_Nano02Apr2020_102X_mc2017_realistic_v8-v1/NANOAODSIM,2018,1,ZToMuMu_800_1400,DY
