# BEGIN DATA
Process=pp -> en~j
Proc=enj
Sqrt=13 TeV
Unit=pb/GeV
Timestamp=2017-10-16 14:02:08
# END DATA

# BEGIN HISTO1D enj_pTV_LO
# xlow   xhigh   val   errminus  errplus
1.400000e+03 1.600000e+03 1.031886e+00 3.692077e-05 3.692077e-05
1.600000e+03 1.800000e+03 1.034200e+00 5.073877e-05 5.073877e-05
1.800000e+03 2.000000e+03 1.036524e+00 6.854004e-05 6.854004e-05
2.000000e+03 2.200000e+03 1.038865e+00 2.542000e-05 2.542000e-05
2.200000e+03 2.400000e+03 1.041217e+00 3.092769e-05 3.092769e-05
2.400000e+03 2.600000e+03 1.043569e+00 3.975197e-05 3.975197e-05
2.600000e+03 2.800000e+03 1.045924e+00 5.141939e-05 5.141939e-05
2.800000e+03 3.000000e+03 1.048286e+00 6.703726e-05 6.703726e-05
3.000000e+03 6.500000e+03 1.051867e+00 6.369213e-05 6.369213e-05
# END HISTO1D

# BEGIN HISTO1D enj_pTV_d1K_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.134067e-01 3.792853e-05 3.792853e-05
4.000000e+01 5.000000e+01 1.112058e-01 3.804739e-05 3.804739e-05
5.000000e+01 6.000000e+01 1.092090e-01 4.282001e-05 4.282001e-05
6.000000e+01 7.000000e+01 1.073992e-01 4.871565e-05 4.871565e-05
7.000000e+01 8.000000e+01 1.057519e-01 5.523950e-05 5.523950e-05
8.000000e+01 9.000000e+01 1.042550e-01 4.524967e-05 4.524967e-05
9.000000e+01 1.000000e+02 1.028875e-01 4.447346e-05 4.447346e-05
1.000000e+02 1.100000e+02 1.016374e-01 4.784752e-05 4.784752e-05
1.100000e+02 1.200000e+02 1.004898e-01 5.187938e-05 5.187938e-05
1.200000e+02 1.300000e+02 9.942903e-02 5.633058e-05 5.633058e-05
1.300000e+02 1.400000e+02 9.844772e-02 6.108057e-05 6.108057e-05
1.400000e+02 1.500000e+02 9.845068e-02 6.606061e-05 6.606061e-05
1.500000e+02 2.000000e+02 1.037599e-01 3.561686e-05 3.561686e-05
2.000000e+02 2.500000e+02 1.188031e-01 5.053587e-05 5.053587e-05
2.500000e+02 3.000000e+02 1.302784e-01 6.784598e-05 6.784598e-05
3.000000e+02 3.500000e+02 1.394879e-01 2.343745e-05 2.343745e-05
3.500000e+02 4.000000e+02 1.471447e-01 2.670452e-05 2.670452e-05
4.000000e+02 4.500000e+02 1.536966e-01 3.187189e-05 3.187189e-05
4.500000e+02 5.000000e+02 1.594208e-01 3.785405e-05 3.785405e-05
5.000000e+02 5.500000e+02 1.645132e-01 4.455726e-05 4.455726e-05
5.500000e+02 6.000000e+02 1.691084e-01 5.200822e-05 5.200822e-05
6.000000e+02 6.500000e+02 1.733065e-01 3.699036e-05 3.699036e-05
6.500000e+02 7.000000e+02 1.771869e-01 3.900149e-05 3.900149e-05
7.000000e+02 7.500000e+02 1.808044e-01 4.317361e-05 4.317361e-05
7.500000e+02 8.000000e+02 1.842030e-01 4.809565e-05 4.809565e-05
8.000000e+02 8.500000e+02 1.874219e-01 5.359790e-05 5.359790e-05
8.500000e+02 9.000000e+02 1.904879e-01 5.969427e-05 5.969427e-05
9.000000e+02 9.500000e+02 1.934274e-01 6.639091e-05 6.639091e-05
9.500000e+02 1.000000e+03 1.962644e-01 7.364547e-05 7.364547e-05
1.000000e+03 1.100000e+03 2.001038e-01 2.684783e-05 2.684783e-05
1.100000e+03 1.200000e+03 2.053174e-01 3.002072e-05 3.002072e-05
1.200000e+03 1.300000e+03 2.103080e-01 3.520045e-05 3.520045e-05
1.300000e+03 1.400000e+03 2.151355e-01 4.142143e-05 4.142143e-05
1.400000e+03 1.600000e+03 2.214859e-01 3.692077e-05 3.692077e-05
1.600000e+03 1.800000e+03 2.305753e-01 5.073877e-05 5.073877e-05
1.800000e+03 2.000000e+03 2.393818e-01 6.854004e-05 6.854004e-05
2.000000e+03 2.200000e+03 2.479713e-01 2.542000e-05 2.542000e-05
2.200000e+03 2.400000e+03 2.563564e-01 3.092769e-05 3.092769e-05
2.400000e+03 2.600000e+03 2.645398e-01 3.975197e-05 3.975197e-05
2.600000e+03 2.800000e+03 2.725016e-01 5.141939e-05 5.141939e-05
2.800000e+03 3.000000e+03 2.802264e-01 6.703726e-05 6.703726e-05
3.000000e+03 6.500000e+03 2.915701e-01 6.369213e-05 6.369213e-05
# END HISTO1D

# BEGIN HISTO1D enj_pTV_d2K_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 -1.129246e-01 -3.776728e-05 -3.776728e-05
4.000000e+01 5.000000e+01 -1.103667e-01 -3.776030e-05 -3.776030e-05
5.000000e+01 6.000000e+01 -1.079242e-01 -4.231625e-05 -4.231625e-05
6.000000e+01 7.000000e+01 -1.055845e-01 -4.789248e-05 -4.789248e-05
7.000000e+01 8.000000e+01 -1.033271e-01 -5.397290e-05 -5.397290e-05
8.000000e+01 9.000000e+01 -1.011436e-01 -4.389925e-05 -4.389925e-05
9.000000e+01 1.000000e+02 -9.901671e-02 -4.280028e-05 -4.280028e-05
1.000000e+02 1.100000e+02 -9.693744e-02 -4.563492e-05 -4.563492e-05
1.100000e+02 1.200000e+02 -9.489415e-02 -4.899056e-05 -4.899056e-05
1.200000e+02 1.300000e+02 -9.287477e-02 -5.261733e-05 -5.261733e-05
1.300000e+02 1.400000e+02 -9.087481e-02 -5.638206e-05 -5.638206e-05
1.400000e+02 1.500000e+02 -8.972128e-02 -6.020316e-05 -6.020316e-05
1.500000e+02 2.000000e+02 -9.326734e-02 -3.201516e-05 -3.201516e-05
2.000000e+02 2.500000e+02 -9.825340e-02 -4.179453e-05 -4.179453e-05
2.500000e+02 3.000000e+02 -9.670149e-02 -5.035990e-05 -5.035990e-05
3.000000e+02 3.500000e+02 -9.049703e-02 -1.520576e-05 -1.520576e-05
3.500000e+02 4.000000e+02 -8.099709e-02 -1.469973e-05 -1.469973e-05
4.000000e+02 4.500000e+02 -6.926243e-02 -1.436287e-05 -1.436287e-05
4.500000e+02 5.000000e+02 -5.611613e-02 -1.332463e-05 -1.332463e-05
5.000000e+02 5.500000e+02 -4.219856e-02 -1.142919e-05 -1.142919e-05
5.500000e+02 6.000000e+02 -2.799036e-02 -8.608257e-06 -8.608257e-06
6.000000e+02 6.500000e+02 -1.384237e-02 -2.954502e-06 -2.954502e-06
6.500000e+02 7.000000e+02 0.000000e+00 0.000000e+00 0.000000e+00
7.000000e+02 7.500000e+02 1.337457e-02 3.193665e-06 3.193665e-06
7.500000e+02 8.000000e+02 2.618114e-02 6.835929e-06 6.835929e-06
8.000000e+02 8.500000e+02 3.836636e-02 1.097181e-05 1.097181e-05
8.500000e+02 9.000000e+02 4.990948e-02 1.564042e-05 1.564042e-05
9.000000e+02 9.500000e+02 6.081388e-02 2.087341e-05 2.087341e-05
9.500000e+02 1.000000e+03 7.109957e-02 2.667911e-05 2.667911e-05
1.000000e+03 1.100000e+03 8.123720e-02 1.089956e-05 1.089956e-05
1.100000e+03 1.200000e+03 9.904285e-02 1.448167e-05 1.448167e-05
1.200000e+03 1.300000e+03 1.148931e-01 1.923031e-05 1.923031e-05
1.300000e+03 1.400000e+03 1.290813e-01 2.485286e-05 2.485286e-05
1.400000e+03 1.600000e+03 1.429316e-01 2.382610e-05 2.382610e-05
1.600000e+03 1.800000e+03 1.652488e-01 3.636349e-05 3.636349e-05
1.800000e+03 2.000000e+03 1.841524e-01 5.272670e-05 5.272670e-05
2.000000e+03 2.200000e+03 2.005918e-01 2.056304e-05 2.056304e-05
2.200000e+03 2.400000e+03 2.151933e-01 2.596162e-05 2.596162e-05
2.400000e+03 2.600000e+03 2.283835e-01 3.431882e-05 3.431882e-05
2.600000e+03 2.800000e+03 2.404425e-01 4.537005e-05 4.537005e-05
2.800000e+03 3.000000e+03 2.515679e-01 6.018141e-05 6.018141e-05
3.000000e+03 6.500000e+03 2.654224e-01 5.798029e-05 5.798029e-05
# END HISTO1D

# BEGIN HISTO1D enj_pTV_K_NLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.363179e+00 3.118220e-04 3.118220e-04
4.000000e+01 5.000000e+01 1.381373e+00 3.405162e-04 3.405162e-04
5.000000e+01 6.000000e+01 1.395326e+00 4.007905e-04 4.007905e-04
6.000000e+01 7.000000e+01 1.407715e+00 4.704338e-04 4.704338e-04
7.000000e+01 8.000000e+01 1.418256e+00 5.443380e-04 5.443380e-04
8.000000e+01 9.000000e+01 1.429294e+00 3.827552e-04 3.827552e-04
9.000000e+01 1.000000e+02 1.439013e+00 3.859595e-04 3.859595e-04
1.000000e+02 1.100000e+02 1.447276e+00 4.227739e-04 4.227739e-04
1.100000e+02 1.200000e+02 1.457040e+00 4.435646e-04 4.435646e-04
1.200000e+02 1.300000e+02 1.465564e+00 4.994848e-04 4.994848e-04
1.300000e+02 1.400000e+02 1.471787e+00 5.621624e-04 5.621624e-04
1.400000e+02 1.500000e+02 1.478778e+00 5.721643e-04 5.721643e-04
1.500000e+02 2.000000e+02 1.488716e+00 1.854967e-04 1.854967e-04
2.000000e+02 2.500000e+02 1.504518e+00 2.468157e-04 2.468157e-04
2.500000e+02 3.000000e+02 1.515123e+00 3.081981e-04 3.081981e-04
3.000000e+02 3.500000e+02 1.521976e+00 1.729281e-04 1.729281e-04
3.500000e+02 4.000000e+02 1.527637e+00 2.162550e-04 2.162550e-04
4.000000e+02 4.500000e+02 1.531606e+00 3.051902e-04 3.051902e-04
4.500000e+02 5.000000e+02 1.535807e+00 2.473536e-04 2.473536e-04
5.000000e+02 5.500000e+02 1.539912e+00 2.800387e-04 2.800387e-04
5.500000e+02 6.000000e+02 1.543436e+00 3.138613e-04 3.138613e-04
6.000000e+02 6.500000e+02 1.547076e+00 2.532814e-04 2.532814e-04
6.500000e+02 7.000000e+02 1.550103e+00 2.660610e-04 2.660610e-04
7.000000e+02 7.500000e+02 1.554471e+00 3.486239e-04 3.486239e-04
7.500000e+02 8.000000e+02 1.557921e+00 4.331392e-04 4.331392e-04
8.000000e+02 8.500000e+02 1.562118e+00 3.472774e-04 3.472774e-04
8.500000e+02 9.000000e+02 1.565814e+00 3.850351e-04 3.850351e-04
9.000000e+02 9.500000e+02 1.570110e+00 4.065648e-04 4.065648e-04
9.500000e+02 1.000000e+03 1.573588e+00 4.401341e-04 4.401341e-04
1.000000e+03 1.100000e+03 1.579881e+00 1.844174e-04 1.844174e-04
