DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, comb, down_correlated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.0117157019704"
0, comb, down_correlated, 0, -2.5, 2.5, 20, 30, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.0213232742196"
0, comb, down_correlated, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.0432975456976"
0, comb, down_correlated, 0, -2.5, 2.5, 30, 50, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.0122979638061"
0, comb, down_uncorrelated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.00705156982179"
0, comb, down_uncorrelated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.0071635801475"
0, comb, down_uncorrelated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.00800928305651"
0, comb, down_uncorrelated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.0433423519817"
0, comb, down_uncorrelated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.00645399272322"
0, comb, down_uncorrelated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.00942557203645"
0, comb, down_uncorrelated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.0310232482609"
0, comb, down_uncorrelated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.103613212867"
