DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))"
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))"
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.11429701745510101)"
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.036130134016275406)"
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.035841848701238632)"
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.029483191668987274)"
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.027636198326945305)"
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.027582168579101562)"
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.030081495642662048)"
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.10704688727855682)"
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.22690519690513611)"
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.045718807727098465)"
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.014452054165303707)"
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.014336739666759968)"
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.01179327629506588)"
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.011054479517042637)"
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.01103286724537611)"
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.012032598257064819)"
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.042818754911422729)"
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.907909+((0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.090762078762054443)"
0, comb, down_correlated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0271735722019"
0, comb, down_correlated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0282202400048"
0, comb, down_correlated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0296638180755"
0, comb, down_correlated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0929552646595"
0, comb, down_correlated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0263587042927"
0, comb, down_correlated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0310495637978"
0, comb, down_correlated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.090993063494"
0, comb, down_correlated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.183583755457"
0, comb, down_correlated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0343242421204"
0, comb, down_correlated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0108694290664"
0, comb, down_correlated, 0, -2.5, 2.5, 70, 100, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0112880956275"
0, comb, down_correlated, 0, -2.5, 2.5, 200, 300, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0118655272228"
0, comb, down_correlated, 0, -2.5, 2.5, 300, 600, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0371821062733"
0, comb, down_correlated, 0, -2.5, 2.5, 140, 200, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0105434815648"
0, comb, down_correlated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0124198258523"
0, comb, down_correlated, 0, -2.5, 2.5, 20, 30, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0363972258798"
0, comb, down_correlated, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0734335006011"
0, comb, down_correlated, 0, -2.5, 2.5, 30, 50, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0137296974036"
0, comb, down_uncorrelated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.00503551702963"
0, comb, down_uncorrelated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.00853678189143"
0, comb, down_uncorrelated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.00499542563583"
0, comb, down_uncorrelated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0530881799283"
0, comb, down_uncorrelated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.00812371414663"
0, comb, down_uncorrelated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0179042650307"
0, comb, down_uncorrelated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0691669761889"
0, comb, down_uncorrelated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.133352814424"
0, comb, down_uncorrelated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0112797600548"
0, comb, down_uncorrelated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.00201420683226"
0, comb, down_uncorrelated, 0, -2.5, 2.5, 70, 100, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.00341471270762"
0, comb, down_uncorrelated, 0, -2.5, 2.5, 200, 300, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.00199817029815"
0, comb, down_uncorrelated, 0, -2.5, 2.5, 300, 600, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0212352712544"
0, comb, down_uncorrelated, 0, -2.5, 2.5, 140, 200, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.00324948552023"
0, comb, down_uncorrelated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.00716170580733"
0, comb, down_uncorrelated, 0, -2.5, 2.5, 20, 30, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0276667910723"
0, comb, down_uncorrelated, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.0533411279471"
0, comb, down_uncorrelated, 0, -2.5, 2.5, 30, 50, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))-0.00451190412146"
0, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18)))))))+0.11429701745510101"
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18)))))))+0.036130134016275406"
0, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18)))))))+0.035841848701238632"
0, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18)))))))+0.029483191668987274"
0, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18)))))))+0.027636198326945305"
0, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18)))))))+0.027582168579101562"
0, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18)))))))+0.030081495642662048"
0, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18)))))))+0.10704688727855682"
0, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18)))))))+0.22690519690513611"
0, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18)))))))+0.045718807727098465"
0, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18)))))))+0.014452054165303707"
0, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18)))))))+0.014336739666759968"
0, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18)))))))+0.01179327629506588"
0, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18)))))))+0.011054479517042637"
0, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18)))))))+0.01103286724537611"
0, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18)))))))+0.012032598257064819"
0, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18)))))))+0.042818754911422729"
0, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18)))))))+0.090762078762054443"
0, comb, up_correlated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.0271735722019"
0, comb, up_correlated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.0282202400048"
0, comb, up_correlated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.0296638180755"
0, comb, up_correlated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.0929552646595"
0, comb, up_correlated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.0263587042927"
0, comb, up_correlated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.0310495637978"
0, comb, up_correlated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.090993063494"
0, comb, up_correlated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.183583755457"
0, comb, up_correlated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.0343242421204"
