DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, comb, up_correlated, 0, -2.5, 2.5, 30, 50, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.0137296974036"
0, comb, up_uncorrelated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.00503551702963"
0, comb, up_uncorrelated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.00853678189143"
0, comb, up_uncorrelated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.00499542563583"
0, comb, up_uncorrelated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.0530881799283"
0, comb, up_uncorrelated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.00812371414663"
0, comb, up_uncorrelated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.0179042650307"
0, comb, up_uncorrelated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.0691669761889"
0, comb, up_uncorrelated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.133352814424"
0, comb, up_uncorrelated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.0112797600548"
0, comb, up_uncorrelated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.00201420683226"
0, comb, up_uncorrelated, 0, -2.5, 2.5, 70, 100, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.00341471270762"
0, comb, up_uncorrelated, 0, -2.5, 2.5, 200, 300, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.00199817029815"
0, comb, up_uncorrelated, 0, -2.5, 2.5, 300, 600, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.0212352712544"
0, comb, up_uncorrelated, 0, -2.5, 2.5, 140, 200, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.00324948552023"
0, comb, up_uncorrelated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.00716170580733"
0, comb, up_uncorrelated, 0, -2.5, 2.5, 20, 30, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.0276667910723"
0, comb, up_uncorrelated, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.0533411279471"
0, comb, up_uncorrelated, 0, -2.5, 2.5, 30, 50, 0, 1, "0.907909+(0.00306267*(log(x+19)*(log(x+18)*(3-(0.389073*log(x+18))))))+0.00451190412146"
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))"
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))"
0, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x))))-0.11809390038251877"
0, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x))))-0.068246781826019287"
0, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x))))-0.089619427919387817"
0, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x))))-0.09074798971414566"
0, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x))))-0.09822576493024826"
0, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x))))-0.14510245621204376"
0, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x))))-0.14462779462337494"
0, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x))))-0.12830106914043427"
0, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x))))-0.21505698561668396"
0, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x))))-0.047237560153007507"
0, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x))))-0.027298713102936745"
0, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x))))-0.035847771912813187"
0, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x))))-0.036299195140600204"
0, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x))))-0.039290305227041245"
0, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x))))-0.058040980249643326"
0, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x))))-0.057851117104291916"
0, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x))))-0.051320426166057587"
0, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x))))-0.086022794246673584"
0, mujets, down_correlated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0935446044018"
0, mujets, down_correlated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0878173875098"
0, mujets, down_correlated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.140488046549"
0, mujets, down_correlated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.104343186895"
0, mujets, down_correlated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.138900423655"
0, mujets, down_correlated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0849446459896"
0, mujets, down_correlated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.096635058504"
0, mujets, down_correlated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.17268053257"
0, mujets, down_correlated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0641584190018"
0, mujets, down_correlated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0374178409918"
0, mujets, down_correlated, 0, -2.5, 2.5, 70, 100, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0351269542268"
0, mujets, down_correlated, 0, -2.5, 2.5, 200, 300, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0561952178573"
0, mujets, down_correlated, 0, -2.5, 2.5, 300, 600, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0417372732018"
0, mujets, down_correlated, 0, -2.5, 2.5, 140, 200, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0555601671316"
0, mujets, down_correlated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0339778592618"
0, mujets, down_correlated, 0, -2.5, 2.5, 20, 30, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0386540223191"
0, mujets, down_correlated, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0690722114078"
0, mujets, down_correlated, 0, -2.5, 2.5, 30, 50, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0256633680257"
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0299617737033"
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0228758407083"
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0343556073236"
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0746569734926"
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0419689779155"
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.028566570993"
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0678810339895"
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.128183231095"
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0232662953819"
0, mujets, down_uncorrelated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0119847094394"
0, mujets, down_uncorrelated, 0, -2.5, 2.5, 70, 100, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.00915033631093"
0, mujets, down_uncorrelated, 0, -2.5, 2.5, 200, 300, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0137422429094"
0, mujets, down_uncorrelated, 0, -2.5, 2.5, 300, 600, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0298627890115"
0, mujets, down_uncorrelated, 0, -2.5, 2.5, 140, 200, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0167875911509"
0, mujets, down_uncorrelated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0114266281595"
0, mujets, down_uncorrelated, 0, -2.5, 2.5, 20, 30, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0271524151369"
0, mujets, down_uncorrelated, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.990709*((1.+(0.00182311*x))/(1.+(0.00230146*x)))-0.0512732946205"
